orden,a_o,barrio_poligono,categoria,comunas_poligonos,manzanas,personas,hombres,mujeres,edad_de_0_a_9,edad_de_10_a_19,edad_de_20_a_29,edad_de_30_a_39,edad_de_40_a_49,edad_de_50_a_59,edad_de_60_a_69,edad_de_70_a_79,edad_de_80_a_89
319,2024,ESPERANZA III,BARRIO,02. NORORIENTAL,30,1575,795,780,271,268,268,260,189,116,123,58,22
320,2024,LA INDEPENDENCIA,BARRIO,02. NORORIENTAL,37,4023,1971,2052,665,687,788,550,465,398,262,141,67
321,2024,LA JUVENTUD,BARRIO,02. NORORIENTAL,42,1627,782,845,228,255,269,249,210,182,123,71,40
322,2024,LIZCANO I,BARRIO,02. NORORIENTAL,1,126,66,60,15,14,24,16,15,15,12,9,6
323,2024,LIZCANO II,BARRIO,02. NORORIENTAL,2,139,69,70,22,25,23,30,18,6,9,3,3
324,2024,LOS ANGELES,BARRIO,02. NORORIENTAL,17,1057,517,540,155,163,172,160,136,114,88,50,19
325,2024,NUEVA COLOMBIA,BARRIO,02. NORORIENTAL,11,476,242,234,95,64,104,82,47,41,28,13,2
326,2024,OLAS II,BARRIO,02. NORORIENTAL,6,885,417,468,142,152,150,155,84,86,68,36,12
327,2024,PUERTO RICO,BARRIO,02. NORORIENTAL,9,652,324,328,96,131,122,113,82,62,24,19,3
328,2024,REGADEROS NORTE,BARRIO,02. NORORIENTAL,19,2730,1340,1390,402,409,490,412,376,301,185,119,36
329,2024,SAN CRISTOBAL,BARRIO,02. NORORIENTAL,23,1031,504,527,161,139,175,146,138,119,77,45,31
330,2024,TRANSICION I-V,BARRIO,02. NORORIENTAL,115,5484,2771,2713,969,948,987,863,657,475,349,173,63
331,2024,VILLA HELENA I,BARRIO,02. NORORIENTAL,25,1718,864,854,336,306,307,273,180,124,134,46,12
332,2024,VILLA HELENA II,BARRIO,02. NORORIENTAL,11,933,470,463,145,128,146,147,103,113,90,48,13
333,2024,VILLA MERCEDES,BARRIO,02. NORORIENTAL,14,1236,645,591,219,224,234,202,147,92,76,31,11
334,2024,ALARCON,BARRIO,03. SAN FRANCISCO,23,3363,1577,1786,395,355,602,690,463,411,250,143,54
335,2024,CHAPINERO,BARRIO,03. SAN FRANCISCO,24,2795,1419,1376,401,348,574,562,342,280,175,94,19
336,2024,COMUNEROS,BARRIO,03. SAN FRANCISCO,54,11277,5435,5842,1323,1590,2336,1781,1444,1248,872,493,190
337,2024,EL CINAL,BARRIO,03. SAN FRANCISCO,7,416,212,204,64,64,75,72,52,38,28,13,10
338,2024,MODELO,BARRIO,03. SAN FRANCISCO,22,2351,1077,1274,313,297,436,403,336,260,167,108,31
339,2024,MUTUALIDAD,BARRIO,03. SAN FRANCISCO,26,4419,2125,2294,450,584,972,649,569,563,324,230,78
340,2024,NORTE BAJO,BARRIO,03. SAN FRANCISCO,14,1500,741,759,200,188,272,214,205,183,132,75,31
341,2024,SAN FRANCISCO,BARRIO,03. SAN FRANCISCO,115,18258,8559,9699,1948,2204,3607,3187,2374,2262,1587,735,354
342,2024,SAN RAFAEL,BARRIO,03. SAN FRANCISCO,16,2151,1038,1113,295,324,401,299,283,258,159,86,46
343,2024,UNIVERSIDAD,BARRIO,03. SAN FRANCISCO,38,5085,2385,2700,424,573,1271,782,563,605,496,260,111
344,2024,5 DE ENERO,A. URBANO,04. OCCIDENTAL,10,407,208,199,96,91,61,66,45,25,14,4,5
345,2024,CAMILO TORRES,A. URBANO,04. OCCIDENTAL,9,691,312,379,130,152,138,121,63,50,22,13,2
346,2024,CARLOS PIZARRO,A. URBANO,04. OCCIDENTAL,2,140,71,69,30,31,24,19,16,10,8,1,1
347,2024,GALLINERAL,A. URBANO,04. OCCIDENTAL,3,492,235,257,111,93,79,94,48,32,25,6,4
348,2024,GIRARDOT,A. URBANO,04. OCCIDENTAL,23,1047,511,536,196,232,195,147,127,71,55,18,6
349,2024,LA FERIA,A. URBANO,04. OCCIDENTAL,10,509,268,241,96,121,100,80,44,39,18,9,2
350,2024,MARIA AUXILIADORA,A. URBANO,04. OCCIDENTAL,1,52,26,26,11,4,13,4,5,6,8,0,1
351,2024,MILAGRO DE DIOS,A. URBANO,04. OCCIDENTAL,6,812,410,402,135,165,169,129,98,65,33,12,6
352,2024,NARINO,A. URBANO,04. OCCIDENTAL,1,172,85,87,42,37,25,29,15,16,4,3,1
353,2024,NIVINO NINO,A. URBANO,04. OCCIDENTAL,6,419,210,209,67,86,76,60,63,32,21,13,1
354,2024,RIO DE ORO I,A. URBANO,04. OCCIDENTAL,3,997,510,487,261,204,171,160,79,62,38,17,5
355,2024,ZARABANDA,A. URBANO,04. OCCIDENTAL,5,580,280,300,142,102,111,106,52,28,33,4,2
356,2024,23 DE JUNIO,BARRIO,04. OCCIDENTAL,16,2043,1009,1034,269,286,377,304,238,243,206,80,40
357,2024,DON BOSCO,BARRIO,04. OCCIDENTAL,7,972,488,484,131,133,180,129,133,115,69,57,25
358,2024,GAITAN,BARRIO,04. OCCIDENTAL,51,5652,2836,2816,738,909,829,811,727,746,467,305,120
359,2024,GIRARDOT,BARRIO,04. OCCIDENTAL,44,9192,4517,4675,1306,1343,1628,1561,1265,1000,572,361,156
360,2024,GRANADA,BARRIO,04. OCCIDENTAL,66,1851,941,910,250,243,365,289,229,206,164,80,25
361,2024,LA FERIA,BARRIO,04. OCCIDENTAL,36,2583,1274,1309,353,429,484,369,399,332,124,74,19
362,2024,LA GLORIA,BARRIO,04. OCCIDENTAL,10,767,387,380,131,133,141,119,89,65,52,27,10
363,2024,NAPOLES,BARRIO,04. OCCIDENTAL,19,1311,677,634,229,235,229,183,179,121,76,39,20
364,2024,NARINO,BARRIO,04. OCCIDENTAL,26,2117,1096,1021,316,295,410,273,273,220,168,127,35
365,2024,PIO XII,BARRIO,04. OCCIDENTAL,17,1580,813,767,270,255,281,250,203,153,110,48,10
366,2024,RIO DE ORO I,BARRIO,04. OCCIDENTAL,18,53,25,28,14,8,9,8,4,4,4,1,1
367,2024,SANTANDER,BARRIO,04. OCCIDENTAL,21,2780,1331,1449,309,352,440,356,347,449,290,148,89
368,2024,PANTANO II,A. URBANO,05. GARCIA ROVIRA,1,66,39,27,9,8,12,8,13,2,8,6,0
369,2024,1 DE MAYO,BARRIO,05. GARCIA ROVIRA,6,1022,513,509,159,147,180,167,127,113,68,49,12
370,2024,ALFONSO LOPEZ,BARRIO,05. GARCIA ROVIRA,38,8710,4250,4460,1041,1125,1681,1424,1134,1099,724,338,144
371,2024,CAMPO HERMOSO,BARRIO,05. GARCIA ROVIRA,63,12553,6006,6547,1734,1778,2214,1857,1693,1506,970,562,239
372,2024,CHARTA,BARRIO,05. GARCIA ROVIRA,5,506,230,276,91,73,77,87,45,57,46,21,9
373,2024,CHORRERAS DE DON JUAN,BARRIO,05. GARCIA ROVIRA,26,3269,1570,1699,329,434,541,484,468,450,319,172,72
374,2024,LA ESTRELLA,BARRIO,05. GARCIA ROVIRA,7,1092,507,585,138,155,204,157,135,136,91,52,24
375,2024,LA JOYA,BARRIO,05. GARCIA ROVIRA,36,6742,3251,3491,753,912,1094,962,818,1010,696,329,168
376,2024,PANTANO II,BARRIO,05. GARCIA ROVIRA,9,657,312,345,112,121,140,73,96,64,25,23,3
377,2024,PANTANO III,BARRIO,05. GARCIA ROVIRA,1,89,51,38,19,10,16,18,9,4,9,2,2
378,2024,QUINTA ESTRELLA,BARRIO,05. GARCIA ROVIRA,38,2173,1072,1101,278,318,420,340,295,299,139,64,20
379,2024,RINCON DE LA PAZ,BARRIO,05. GARCIA ROVIRA,21,1337,671,666,271,244,265,211,146,105,60,22,13
380,2024,CANDILES,BARRIO,06. LA CONCORDIA,4,1472,695,777,189,167,236,230,170,204,130,102,44
381,2024,GOMEZ NINO,BARRIO,06. LA CONCORDIA,11,1126,518,608,111,138,200,194,96,178,110,73,26
382,2024,LA CEIBA,BARRIO,06. LA CONCORDIA,23,3263,1526,1737,345,422,537,545,435,424,281,184,90
383,2024,LA CONCORDIA,BARRIO,06. LA CONCORDIA,77,9008,4155,4853,955,1017,1639,1336,1167,1243,855,524,272
384,2024,LA SALLE,BARRIO,06. LA CONCORDIA,10,982,439,543,90,100,131,132,140,160,127,59,43
385,2024,LA VICTORIA,BARRIO,06. LA CONCORDIA,37,6297,2911,3386,636,799,869,874,812,958,652,420,277
386,2024,RICAURTE,BARRIO,06. LA CONCORDIA,25,3049,1464,1585,335,392,534,557,422,381,219,142,67
387,2024,SAN MIGUEL,BARRIO,06. LA CONCORDIA,24,4669,2195,2474,536,567,855,683,621,611,437,232,127
388,2024,REAL DE MINAS,BARRIO,07. LA CIUDADELA,126,30446,13998,16448,2918,3879,5402,4513,3967,4286,3388,1593,500
389,2024,EL FONCE,A. URBANO,08. SUR OCCIDENTE,2,77,35,42,20,6,23,10,2,7,5,3,1
390,2024,LA GUACAMAYA,A. URBANO,08. SUR OCCIDENTE,3,311,161,150,59,68,54,63,28,24,8,4,3
391,2024,LAURELES I,A. URBANO,08. SUR OCCIDENTE,6,183,93,90,29,30,40,29,26,11,12,4,2
392,2024,MANZANA 10,A. URBANO,08. SUR OCCIDENTE,14,628,309,319,95,104,120,98,79,63,34,29,6
393,2024,SAN GERARDO,A. URBANO,08. SUR OCCIDENTE,3,783,382,401,122,116,171,128,103,68,45,18,12
394,2024,SAN GERARDO,A. URBANO,08. SUR OCCIDENTE,4,1013,507,506,117,153,181,131,135,138,80,58,20
395,2024,20 DE JULIO,BARRIO,08. SUR OCCIDENTE,1,424,193,231,57,76,67,63,60,42,29,25,5
396,2024,AFRICA,BARRIO,08. SUR OCCIDENTE,12,1223,605,618,161,183,225,202,170,110,85,74,13
397,2024,ANTIGUA COLOMBIA,BARRIO,08. SUR OCCIDENTE,6,498,252,246,79,73,93,67,67,58,38,13,10
398,2024,BOSCONIA,BARRIO,08. SUR OCCIDENTE,5,193,102,91,21,31,39,16,39,24,9,10,4
399,2024,BUCARAMANGA,BARRIO,08. SUR OCCIDENTE,29,5291,2595,2696,791,830,911,764,717,623,328,227,100
400,2024,CANELOS,BARRIO,08. SUR OCCIDENTE,22,2100,977,1123,243,258,351,299,292,250,219,139,49
401,2024,CORDONCILLO I,BARRIO,08. SUR OCCIDENTE,3,378,189,189,55,65,76,52,48,40,16,19,7
402,2024,CORDONCILLO II,BARRIO,08. SUR OCCIDENTE,15,2187,1077,1110,251,328,441,297,267,297,159,98,49
403,2024,JUAN XXIII,BARRIO,08. SUR OCCIDENTE,12,927,477,450,154,153,181,157,106,85,47,35,9
404,2024,PABLO VI,BARRIO,08. SUR OCCIDENTE,11,1890,901,989,275,285,334,262,233,249,118,93,41
405,2024,QUEBRADA LA IGLESIA II,BARRIO,08. SUR OCCIDENTE,2,0,0,0,0,0,0,0,0,0,0,0,0
406,2024,SAN GERARDO,BARRIO,08. SUR OCCIDENTE,4,622,315,307,81,84,111,106,80,69,41,37,13
407,2024,ANTONIA SANTOS SUR,BARRIO,09. LA PEDREGOSA,7,800,381,419,72,77,140,101,97,131,105,49,28
408,2024,ASTURIAS,BARRIO,09. LA PEDREGOSA,9,1062,483,579,101,111,161,171,151,145,128,71,23
409,2024,DIAMANTE I,BARRIO,09. LA PEDREGOSA,9,1684,801,883,150,218,268,232,243,235,151,128,59
410,2024,LA LIBERTAD,BARRIO,09. LA PEDREGOSA,7,710,357,353,59,92,129,79,93,118,78,41,21
411,2024,LA PEDREGOSA,BARRIO,09. LA PEDREGOSA,4,611,307,304,75,93,106,86,87,79,56,19,10
412,2024,LAS CASITAS,BARRIO,09. LA PEDREGOSA,4,264,132,132,41,33,53,29,35,29,18,18,8
413,2024,NUEVA GRANADA,BARRIO,09. LA PEDREGOSA,8,835,396,439,90,106,142,131,126,121,68,44,7
414,2024,PORTO FINO,BARRIO,09. LA PEDREGOSA,6,580,264,316,72,57,112,104,84,53,64,22,12
415,2024,QUEBRADA LA IGLESIA,BARRIO,09. LA PEDREGOSA,17,1510,742,768,196,229,266,251,216,159,115,58,20
416,2024,SAN MARTIN,BARRIO,09. LA PEDREGOSA,23,3888,1952,1936,528,547,782,729,483,430,222,116,51
417,2024,SAN PEDRO CLAVER,BARRIO,09. LA PEDREGOSA,14,967,495,472,132,140,201,132,122,116,58,48,18
418,2024,VILLA DIAMANTE,BARRIO,09. LA PEDREGOSA,6,1981,919,1062,169,241,319,271,252,302,232,142,53
419,2024,VILLA INES,BARRIO,09. LA PEDREGOSA,15,1568,704,864,176,217,242,251,209,197,149,90,37
420,2024,EL PORVENIR,A. RURAL,10. PROVENZA,21,1224,621,603,213,236,236,227,142,93,50,21,6
421,2024,LUZ DE SALVACION I,A. URBANO,10. PROVENZA,34,2232,1146,1086,439,395,463,360,267,172,84,37,15
422,2024,BRISAS DE PROVENZA,BARRIO,10. PROVENZA,25,2077,1017,1060,407,358,464,326,267,148,59,37,11
423,2024,CRISTAL ALTO,BARRIO,10. PROVENZA,18,1905,915,990,298,345,347,316,218,212,106,45,18
424,2024,CRISTAL BAJO,BARRIO,10. PROVENZA,36,2437,1203,1234,461,400,504,387,269,241,101,58,16
425,2024,DIAMANTE II,BARRIO,10. PROVENZA,60,10681,4870,5811,989,1103,1585,1554,1436,1459,1243,902,410
426,2024,EL PORVENIR,BARRIO,10. PROVENZA,62,8033,3879,4154,1075,1044,1551,1236,1108,986,627,316,90
427,2024,FONTANA,BARRIO,10. PROVENZA,27,4192,1915,2277,460,573,547,709,553,563,438,269,80
428,2024,GRANJAS DE PROVENZA,BARRIO,10. PROVENZA,34,4719,2290,2429,759,637,902,1019,588,425,228,120,41
429,2024,NUEVA FONTANA,BARRIO,10. PROVENZA,6,562,243,319,47,74,85,79,83,90,67,30,7
430,2024,PROVENZA,BARRIO,10. PROVENZA,93,15526,7175,8351,1540,1684,2401,2434,2000,2043,1840,1134,450
431,2024,SAN LUIS,BARRIO,10. PROVENZA,23,2153,961,1192,183,231,325,295,311,296,303,150,59
432,2024,VIVEROS DE PROVENZA,BARRIO,10. PROVENZA,11,1004,488,516,155,150,256,161,128,102,31,15,6
433,2024,VILLA DEL NOGAL,A. RURAL,11. SUR,857,522,250,272,87,100,90,85,69,40,34,12,5
434,2024,DELICIAS ALTAS,A. URBANO,11. SUR,4,137,66,71,20,28,25,13,18,13,8,10,2
435,2024,LUZ DE SALVACION II,A. URBANO,11. SUR,37,1111,545,566,214,198,222,179,123,108,39,22,6
436,2024,BALCONES DEL SUR,BARRIO,11. SUR,9,697,362,335,137,121,170,96,96,45,26,4,2
437,2024,BRISAS DEL PALMAR,BARRIO,11. SUR,2,412,200,212,75,63,81,71,42,51,17,8,4
438,2024,BRISAS DEL PARAISO,BARRIO,11. SUR,9,1024,508,516,165,185,211,174,128,104,33,19,5
439,2024,CANDADO,BARRIO,11. SUR,3,421,194,227,50,52,73,81,44,61,33,22,5
440,2024,CIUDAD VENECIA,BARRIO,11. SUR,14,1295,601,694,139,173,221,203,162,176,140,55,26
441,2024,CONDADO DE GIBRALTAR,BARRIO,11. SUR,8,527,252,275,50,86,77,58,78,85,48,34,11
442,2024,DANGOND,BARRIO,11. SUR,11,2001,974,1027,218,267,340,304,283,223,240,95,31
443,2024,DELICIAS ALTAS,BARRIO,11. SUR,8,1644,776,868,218,221,261,300,241,189,136,63,15
444,2024,DELICIAS BAJAS,BARRIO,11. SUR,3,145,63,82,17,23,14,25,15,16,21,10,4
445,2024,EL ROCIO,BARRIO,11. SUR,14,2447,1077,1370,283,330,419,383,301,342,251,101,37
446,2024,GRANJAS DE JULIO RINCON,BARRIO,11. SUR,2,445,206,239,72,79,83,63,63,56,10,13,6
447,2024,GRANJAS REAGAN,BARRIO,11. SUR,8,788,393,395,169,128,152,132,86,57,43,15,6
448,2024,IGSABELAR,BARRIO,11. SUR,2,520,259,261,76,79,98,81,80,50,33,14,9
449,2024,JARDINES DE COAVICONSA,BARRIO,11. SUR,22,6207,2893,3314,772,828,1040,1107,884,805,483,222,66
450,2024,LOS CONQUISTADORES,BARRIO,11. SUR,6,1674,800,874,246,297,365,256,244,158,67,30,11
451,2024,MALPASO,BARRIO,11. SUR,3,494,229,265,61,68,95,58,65,67,48,25,7
452,2024,MANUELA BELTRAN,BARRIO,11. SUR,34,4804,2316,2488,650,703,900,836,589,530,378,168,50
453,2024,PUNTA PARAISO,BARRIO,11. SUR,21,2183,1058,1125,420,358,489,388,232,171,80,37,8
454,2024,ROBLES,BARRIO,11. SUR,1,292,147,145,34,42,39,56,35,44,22,13,7
455,2024,SANTA MARIA,BARRIO,11. SUR,3,374,178,196,51,48,73,52,55,52,26,12,5
456,2024,TOLEDO PLATA,BARRIO,11. SUR,12,1259,575,684,152,156,207,223,131,156,153,57,24
457,2024,VILLA ALICIA,BARRIO,11. SUR,4,582,259,323,59,52,125,66,68,82,73,44,13
458,2024,VILLA DEL NOGAL,BARRIO,11. SUR,7,263,126,137,49,45,58,44,31,18,12,4,2
459,2024,VILLA FLOR,BARRIO,11. SUR,1,660,307,353,92,83,107,130,87,67,63,25,6
460,2024,VILLA REAL DEL SUR,BARRIO,11. SUR,8,870,426,444,159,167,188,138,103,67,25,17,6
461,2024,VILLA SARA,BARRIO,11. SUR,3,370,173,197,37,51,69,53,59,42,35,19,5
462,2024,ALTOS DEL JARDIN,BARRIO,12. CABECERA DEL LLANO,5,185,88,97,17,27,14,20,34,23,22,21,7
463,2024,ANTIGUO CAMPESTRE,BARRIO,12. CABECERA DEL LLANO,11,881,363,518,44,62,148,103,91,147,131,92,63
464,2024,BOLARQUI,BARRIO,12. CABECERA DEL LLANO,20,3316,1494,1822,263,331,454,537,458,504,447,212,110
465,2024,CABECERA DEL LLANO,BARRIO,12. CABECERA DEL LLANO,84,14895,6573,8322,1044,1162,1780,1847,1858,2325,2547,1634,698
466,2024,CONUCOS,BARRIO,12. CABECERA DEL LLANO,2,1630,660,970,115,149,211,163,204,213,239,217,119
467,2024,EL JARDIN,BARRIO,12. CABECERA DEL LLANO,10,227,109,118,19,30,26,25,28,32,31,26,10
468,2024,LA FLORESTA,BARRIO,12. CABECERA DEL LLANO,17,3054,1410,1644,263,287,425,430,412,500,446,199,92
469,2024,LOS CEDROS,BARRIO,12. CABECERA DEL LLANO,2,107,46,61,9,21,5,8,23,19,12,10,0
470,2024,MERCEDES,BARRIO,12. CABECERA DEL LLANO,16,2073,890,1183,180,225,342,327,256,304,219,139,81
471,2024,NUEVO SOTOMAYOR,BARRIO,12. CABECERA DEL LLANO,19,3386,1490,1896,294,298,547,567,476,450,427,241,86
472,2024,PAN DE AZUCAR,BARRIO,12. CABECERA DEL LLANO,22,1853,878,975,137,173,224,231,263,325,272,160,68
473,2024,PUERTA DEL SOL,BARRIO,12. CABECERA DEL LLANO,7,467,229,238,31,54,78,76,69,75,54,23,7
474,2024,SOTOMAYOR,BARRIO,12. CABECERA DEL LLANO,31,6702,2915,3787,458,526,815,905,841,977,1167,667,346
475,2024,TERRAZAS,BARRIO,12. CABECERA DEL LLANO,14,1586,717,869,120,153,258,195,228,269,198,123,42
476,2024,GALAN,A. URBANO,13. ORIENTAL,21,2137,1093,1044,481,346,477,357,188,132,100,40,16
477,2024,ALVAREZ,BARRIO,13. ORIENTAL,47,6727,3067,3660,616,828,981,1010,926,987,687,464,228
478,2024,ANTONIA SANTOS CENTRO,BARRIO,13. ORIENTAL,39,14233,6541,7692,1505,1629,2455,2636,2058,1803,1247,625,275
479,2024,BOLIVAR,BARRIO,13. ORIENTAL,28,4701,2187,2514,465,470,729,809,646,684,506,269,123
480,2024,EL PRADO,BARRIO,13. ORIENTAL,27,5908,2588,3320,429,508,837,899,760,867,825,540,243
481,2024,GALAN,BARRIO,13. ORIENTAL,4,642,299,343,66,104,108,124,88,58,58,25,11
482,2024,LA AURORA,BARRIO,13. ORIENTAL,22,2786,1229,1557,244,266,452,411,329,415,376,213,80
483,2024,LOS PINOS,BARRIO,13. ORIENTAL,19,3371,1532,1839,259,383,417,422,476,471,513,302,128
484,2024,MEJORAS PUBLICAS,BARRIO,13. ORIENTAL,39,10265,4578,5687,824,982,1625,1686,1324,1501,1294,723,306
485,2024,QUINTA BRIGADA,BARRIO,13. ORIENTAL,4,1498,727,771,166,178,287,304,194,154,130,61,24
486,2024,QUINTADANIA,BARRIO,13. ORIENTAL,5,626,278,348,62,47,108,114,69,79,76,55,16
487,2024,SAN ALONSO,BARRIO,13. ORIENTAL,60,15296,6854,8442,1444,1665,2888,2461,1911,2003,1590,834,500
488,2024,BUENAVISTA,A. RURAL,14. MORRORICO,13,916,462,454,158,121,175,147,98,110,51,46,10
489,2024,LOS ANAYA,A. RURAL,14. MORRORICO,2,124,64,60,10,8,25,15,20,11,18,17,0
490,2024,ALBANIA,BARRIO,14. MORRORICO,5,1777,831,946,228,233,289,231,258,241,155,99,43
491,2024,BUENAVISTA,BARRIO,14. MORRORICO,2,135,71,64,21,23,16,35,15,9,10,6,0
492,2024,BUENOS AIRES,BARRIO,14. MORRORICO,48,5830,2818,3012,1059,937,1131,948,658,530,324,174,69
493,2024,EL DIVISO,BARRIO,14. MORRORICO,18,2147,1002,1145,385,336,446,312,243,183,141,77,24
494,2024,LIMONCITO,BARRIO,14. MORRORICO,5,733,374,359,116,106,170,106,74,65,62,26,8
495,2024,MIRAFLORES,BARRIO,14. MORRORICO,49,4867,2361,2506,774,774,942,740,612,462,285,198,80
496,2024,MORRORICO,BARRIO,14. MORRORICO,13,1903,935,968,306,284,363,294,254,164,149,68,21
497,2024,SAUCES,BARRIO,14. MORRORICO,2,472,215,257,56,80,88,72,68,42,37,23,6
498,2024,VEGAS DE MORRORICO,BARRIO,14. MORRORICO,3,448,215,233,64,80,73,67,83,33,21,17,10
499,2024,VENADO DE ORO,BARRIO,14. MORRORICO,10,613,305,308,101,128,110,114,73,58,18,10,1
500,2024,CENTRO,BARRIO,15. CENTRO,73,4394,2118,2276,514,504,823,838,575,551,378,158,53
501,2024,GARCIA ROVIRA,BARRIO,15. CENTRO,56,3648,1843,1805,404,457,686,654,527,424,304,137,55
502,2024,ALTOS DEL CACIQUE,BARRIO,16. LAGOS DEL CACIQUE,13,823,408,415,102,133,158,127,118,98,66,15,6
503,2024,ALTOS DEL LAGO,BARRIO,16. LAGOS DEL CACIQUE,11,1173,548,625,107,174,172,149,185,177,139,49,21
504,2024,BALCON DEL LAGO,BARRIO,16. LAGOS DEL CACIQUE,3,257,139,118,41,54,59,43,36,18,1,3,2
505,2024,BOSQUES DEL CACIQUE,BARRIO,16. LAGOS DEL CACIQUE,5,383,168,215,61,66,64,70,49,38,25,8,2
506,2024,EL TEJAR,BARRIO,16. LAGOS DEL CACIQUE,31,11054,5078,5976,1143,1475,1641,1518,1665,1643,1205,593,171
507,2024,HACIENDA SAN JUAN,BARRIO,16. LAGOS DEL CACIQUE,13,1518,710,808,184,229,257,268,223,181,98,58,20
508,2024,LAGOS DEL CACIQUE,BARRIO,16. LAGOS DEL CACIQUE,34,4800,2202,2598,385,565,749,499,588,883,712,310,109
509,2024,LOS GUAYACANES,BARRIO,16. LAGOS DEL CACIQUE,1,174,84,90,30,30,26,29,33,13,7,5,1
510,2024,PRADOS DEL MUTIS,BARRIO,16. LAGOS DEL CACIQUE,2,1665,786,879,165,217,276,239,223,283,173,64,25
511,2024,SAN EXPEDITO,BARRIO,16. LAGOS DEL CACIQUE,10,779,386,393,124,131,116,141,104,84,31,36,12
512,2024,BALCONCITOS,BARRIO,17. MUTIS,7,815,367,448,82,114,168,113,104,121,79,21,13
513,2024,BRISAS DEL MUTIS,BARRIO,17. MUTIS,19,4106,1946,2160,504,635,796,606,594,523,282,120,46
514,2024,ESTORAQUES,BARRIO,17. MUTIS,34,7532,3732,3800,1225,1204,1382,1306,847,804,474,223,67
515,2024,LA GRAN LADERA,BARRIO,17. MUTIS,19,1571,727,844,299,239,331,300,188,138,50,18,8
516,2024,LOS HEROES,BARRIO,17. MUTIS,10,1615,761,854,198,208,284,251,214,196,162,75,27
517,2024,MANZANARES,BARRIO,17. MUTIS,13,1267,611,656,159,173,234,185,143,188,97,66,22
518,2024,MONTERREDONDO,BARRIO,17. MUTIS,31,5805,2758,3047,870,803,1171,957,732,672,385,168,47
519,2024,MUTIS,BARRIO,17. MUTIS,46,9265,4329,4936,964,1198,1584,1293,1198,1383,780,530,335
520,2024,QUEBRADA LA IGLESIA I,BARRIO,17. MUTIS,9,151,83,68,29,12,33,16,26,22,10,0,3
521,2024,VEREDA VIJAGUAL,A. RURAL,CORREG. 1,126,806,386,420,133,156,111,126,45,35,25,15,160
522,2024,VILLA LUZ,A. RURAL,CORREG. 1,495,807,387,420,139,151,112,119,44,32,11,4,195
523,2024,ASOPOFAVI,A. RURAL,CORREG. 2,16,2558,1228,1330,480,477,481,350,331,235,101,84,19
524,2024,SANTA BARBARA,A. RURAL,CORREG. 2,4,2558,1228,1330,246,388,465,372,481,186,264,78,78
525,2024,MALANA,A. RURAL,CORREG. 3,10,1518,729,789,234,217,208,191,260,156,113,104,35
526,2024,MIRAMANGA,A. RURAL,CORREG. 3,10,1519,730,789,286,276,290,266,222,75,54,35,15
