departamento,municipio,codigo_dane,armas_medios,fecha_hecho,genero,grupo_etario,tipo_de_hurto,cantidad
CAUCA,MORALES,19473000,ARMA DE FUEGO,03/12/2025,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CAUCA,GUACHENE,19300000,ARMA DE FUEGO,27/06/2025,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CAUCA,LA SIERRA,19392000,ARMA DE FUEGO,13/01/2026,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CESAR,EL PASO,20250002,ARMA DE FUEGO,07/01/2026,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CAUCA,CALDONO,19137000,ARMA DE FUEGO,24/01/2026,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CESAR,BOSCONIA,20060000,ARMA DE FUEGO,22/01/2026,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CESAR,PAILITAS,20517001,ARMA DE FUEGO,08/01/2026,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CESAR,RIO DE ORO,20614000,ARMA DE FUEGO,15/01/2026,,,HURTO PIRATERIA TERRESTRE,1
ARAUCA,TAME,81794000,ARMA DE FUEGO,26/01/2026,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CESAR,PELAYA,20550000,ARMA DE FUEGO,17/02/2026,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOGOTA,BOGOTA D.C. (CT),11001000,ARMA DE FUEGO,24/02/2026,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CESAR,AGUACHICA,20011025,ARMA DE FUEGO,21/11/2025,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CAUCA,PIENDAMO,19548000,ARMA DE FUEGO,05/03/2026,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CESAR,SAN DIEGO,20750000,ARMA DE FUEGO,26/03/2026,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CESAR,CHIRIGUANA,20178008,ARMA DE FUEGO,09/03/2026,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOGOTA,BOGOTA D.C. (CT),11001000,ARMA DE FUEGO,12/02/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
TOLIMA,GUAMO,73319000,ARMA DE FUEGO,27/01/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
VALLE,GUADALAJARA DE BUGA,76111000,ARMA DE FUEGO,21/01/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
TOLIMA,MELGAR,73449000,ARMA DE FUEGO,22/01/2014,,,HURTO PIRATERIA TERRESTRE,1
TOLIMA,VENADILLO,73861000,ARMA DE FUEGO,09/01/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CESAR,CHIRIGUANA,20178000,ARMA DE FUEGO,19/02/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
TOLIMA,MARIQUITA,73443000,ARMA DE FUEGO,10/02/2014,,,HURTO PIRATERIA TERRESTRE,1
PUTUMAYO,MOCOA (CT),86001000,ARMA DE FUEGO,01/02/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ATLANTICO,JUAN DE ACOSTA,8372000,ARMA DE FUEGO,20/02/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ANTIOQUIA,ITAGUI,5360000,ARMA DE FUEGO,11/02/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,SOACHA,25754000,ARMA DE FUEGO,03/01/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,MOSQUERA,25473000,ARMA DE FUEGO,20/01/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,PUERTO SALGAR,25572000,ARMA DE FUEGO,22/01/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ARAUCA,SARAVENA,81736000,ARMA DE FUEGO,17/02/2014,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,SOACHA,25754000,ARMA DE FUEGO,24/02/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ARAUCA,TAME,81794000,ARMA DE FUEGO,21/02/2014,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOGOTA,BOGOTA D.C. (CT),11001000,ARMA DE FUEGO,15/02/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
VALLE,BUENAVENTURA,76109000,ARMA DE FUEGO,19/02/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
VALLE,BUENAVENTURA,76109000,ARMA DE FUEGO,10/02/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ANTIOQUIA,MEDELLIN (CT),5001000,ARMA DE FUEGO,26/02/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
GUAJIRA,RIOHACHA (CT),44001000,ARMA DE FUEGO,26/02/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ANTIOQUIA,MEDELLIN (CT),5001000,ARMA DE FUEGO,13/01/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ARAUCA,TAME,81794000,ARMA DE FUEGO,02/03/2014,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOGOTA,BOGOTA D.C. (CT),11001000,ARMA DE FUEGO,14/02/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOGOTA,BOGOTA D.C. (CT),11001000,ARMA DE FUEGO,21/02/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,SOACHA,25754000,ARMA DE FUEGO,28/02/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ANTIOQUIA,MARINILLA,5440000,ARMA DE FUEGO,05/03/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CAUCA,PIENDAMO,19548000,ARMA DE FUEGO,26/02/2014,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
TOLIMA,MELGAR,73449000,ARMA DE FUEGO,22/02/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
TOLIMA,ESPINAL,73268000,ARMA DE FUEGO,17/02/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CAUCA,SANTANDER DE QUILICHAO,19698000,ARMA DE FUEGO,27/02/2014,,,HURTO PIRATERIA TERRESTRE,1
CAUCA,PUERTO TEJADA,19573000,ARMA DE FUEGO,04/02/2014,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOGOTA,BOGOTA D.C. (CT),11001000,ARMA DE FUEGO,20/03/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CAUCA,TIMBIO,19807000,ARMA DE FUEGO,04/02/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
TOLIMA,ESPINAL,73268000,ARMA DE FUEGO,05/03/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,GUADUAS,25320000,ARMA DE FUEGO,13/02/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
NORTE DE SANTANDER,CACHIRA,54128000,ARMA DE FUEGO,05/04/2013,,,HURTO PIRATERIA TERRESTRE,1
BOLIVAR,MAHATES,13433000,ARMA DE FUEGO,21/04/2013,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
NORTE DE SANTANDER,ABREGO,54003000,ARMA DE FUEGO,10/12/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOLIVAR,SAN JUAN NEPOMUCENO,13657000,ARMA DE FUEGO,26/02/2013,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOLIVAR,EL CARMEN DE BOLIVAR,13244000,ARMA DE FUEGO,03/02/2013,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOLIVAR,SAN JUAN NEPOMUCENO,13657000,ARMA DE FUEGO,06/03/2013,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ANTIOQUIA,MEDELLIN (CT),5001000,ARMA DE FUEGO,15/03/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOLIVAR,CALAMAR,13140000,ARMA DE FUEGO,27/12/2013,,,HURTO PIRATERIA TERRESTRE,1
ANTIOQUIA,CALDAS,5129000,ARMA DE FUEGO,03/07/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,SOACHA,25754000,ARMA DE FUEGO,01/04/2013,,,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,PUERTO SALGAR,25572000,ARMA DE FUEGO,20/01/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,MOSQUERA,25473000,ARMA DE FUEGO,06/02/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,FUSAGASUGA,25290000,ARMA DE FUEGO,02/02/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,SILVANIA,25743000,ARMA DE FUEGO,12/04/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
GUAJIRA,RIOHACHA (CT),44001000,ARMA DE FUEGO,11/10/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,AGUA DE DIOS,25001000,ARMA DE FUEGO,24/05/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,SILVANIA,25743000,ARMA DE FUEGO,28/05/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,CAQUEZA,25151000,ARMA DE FUEGO,09/07/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,GRANADA,25312000,ARMA DE FUEGO,23/07/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,VILLETA,25875000,ARMA DE FUEGO,08/08/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,LA VEGA,25402000,ARMA DE FUEGO,22/08/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,MOSQUERA,25473000,ARMA DE FUEGO,09/09/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,SILVANIA,25743000,ARMA DE FUEGO,02/09/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,PUERTO SALGAR,25572000,ARMA DE FUEGO,12/09/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ANTIOQUIA,CALDAS,5129000,ARMA DE FUEGO,06/09/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ANTIOQUIA,CALDAS,5129000,ARMA DE FUEGO,19/10/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ATLANTICO,SANTO TOMAS,8685000,ARMA DE FUEGO,20/04/2013,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,BOJACA,25099000,ARMA DE FUEGO,23/09/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,LA VEGA,25402000,ARMA DE FUEGO,08/10/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,GUADUAS,25320000,ARMA DE FUEGO,29/10/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,MOSQUERA,25473000,ARMA DE FUEGO,03/11/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,LA VEGA,25402000,ARMA DE FUEGO,06/11/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,ALBAN,25019000,ARMA DE FUEGO,11/11/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,CHIPAQUE,25178000,ARMA DE FUEGO,14/11/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
VALLE,YOTOCO,76890000,ARMA DE FUEGO,26/03/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
META,PUERTO LLERAS,50577000,ARMA DE FUEGO,22/01/2024,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,FACATATIVA,25269000,ARMA DE FUEGO,14/11/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,SAN JUAN DE RIO SECO,25662000,ARMA DE FUEGO,13/12/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,FACATATIVA,25269000,ARMA DE FUEGO,17/12/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
TOLIMA,NATAGAIMA,73483000,ARMA DE FUEGO,26/10/2013,,,HURTO PIRATERIA TERRESTRE,1
VALLE,YUMBO,76892000,ARMA DE FUEGO,19/06/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOGOTA,BOGOTA D.C. (CT),11001000,ARMA DE FUEGO,14/06/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,COGUA,25200000,ARMA DE FUEGO,05/12/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ATLANTICO,BARRANQUILLA (CT),8001000,ARMA DE FUEGO,28/11/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOGOTA,BOGOTA D.C. (CT),11001000,ARMA DE FUEGO,26/08/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,TENJO,25799000,ARMA DE FUEGO,12/12/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,SAN JUAN DE RIO SECO,25662000,ARMA DE FUEGO,21/11/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,CHOCONTA,25183000,ARMA DE FUEGO,08/08/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,SOACHA,25754000,ARMA DE FUEGO,15/10/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,FUSAGASUGA,25290000,ARMA DE FUEGO,29/01/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ANTIOQUIA,MEDELLIN (CT),5001000,ARMA DE FUEGO,07/02/2013,FEMENINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ANTIOQUIA,CALDAS,5129000,ARMA DE FUEGO,29/05/2013,FEMENINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CESAR,SAN ALBERTO,20710000,ARMA DE FUEGO,01/02/2013,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOGOTA,BOGOTA D.C. (CT),11001000,ARMA DE FUEGO,27/03/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
PUTUMAYO,ORITO,86320000,ARMA DE FUEGO,05/02/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
TOLIMA,GUAMO,73319000,ARMA DE FUEGO,18/02/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
TOLIMA,VENADILLO,73861000,ARMA DE FUEGO,24/03/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
TOLIMA,COELLO,73200000,ARMA DE FUEGO,05/04/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ANTIOQUIA,FREDONIA,5282000,ARMA DE FUEGO,01/04/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
GUAJIRA,HATONUEVO,44378000,ARMA DE FUEGO,28/03/2014,FEMENINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ARAUCA,FORTUL,81300000,ARMA DE FUEGO,27/03/2014,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOGOTA,BOGOTA D.C. (CT),11001000,ARMA DE FUEGO,09/04/2014,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ANTIOQUIA,SANTA ROSA DE OSOS,5686000,ARMA DE FUEGO,10/04/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
PUTUMAYO,PUERTO CAICEDO,86569000,ARMA DE FUEGO,27/03/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ANTIOQUIA,ITAGUI,5360000,ARMA DE FUEGO,19/03/2014,,,HURTO PIRATERIA TERRESTRE,1
CESAR,VALLEDUPAR (CT),20001000,ARMA DE FUEGO,05/04/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
NARINO,IMUES,52354000,ARMA DE FUEGO,10/04/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CESAR,BECERRIL,20045000,ARMA DE FUEGO,13/04/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOLIVAR,SAN JUAN NEPOMUCENO,13657000,ARMA DE FUEGO,14/04/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
PUTUMAYO,VILLAGARZON,86885000,ARMA DE FUEGO,08/04/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,FUSAGASUGA,25290001,ARMA DE FUEGO,13/03/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,SASAIMA,25718000,ARMA DE FUEGO,07/04/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOYACA,COMBITA,15204000,ARMA DE FUEGO,04/04/2014,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,SUTATAUSA,25781000,ARMA DE FUEGO,01/04/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,SOACHA,25754000,ARMA DE FUEGO,04/03/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,MADRID,25430000,ARMA DE FUEGO,11/04/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,GUADUAS,25320004,ARMA DE FUEGO,11/04/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
NARINO,POLICARPA,52540000,ARMA DE FUEGO,25/04/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,SOACHA,25754000,ARMA DE FUEGO,12/04/2014,FEMENINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,FUNZA,25286000,ARMA DE FUEGO,16/04/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CAUCA,POPAYAN (CT),19001030,ARMA DE FUEGO,27/04/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,SIBATE,25740000,ARMA DE FUEGO,27/04/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
VALLE,YUMBO,76892000,ARMA DE FUEGO,23/04/2014,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOGOTA,BOGOTA D.C. (CT),11001000,ARMA DE FUEGO,11/04/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ANTIOQUIA,MEDELLIN (CT),5001000,ARMA DE FUEGO,13/05/2014,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ATLANTICO,SANTO TOMAS,8685000,ARMA DE FUEGO,18/05/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ATLANTICO,PONEDERA,8560000,ARMA DE FUEGO,20/05/2014,,,HURTO PIRATERIA TERRESTRE,1
SUCRE,LOS PALMITOS,70418002,ARMA DE FUEGO,30/04/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CAUCA,SANTANDER DE QUILICHAO,19698000,ARMA DE FUEGO,12/03/2014,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CAUCA,SANTANDER DE QUILICHAO,19698000,ARMA DE FUEGO,22/05/2014,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
PUTUMAYO,SAN FRANCISCO,86755002,ARMA DE FUEGO,11/05/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
TOLIMA,COELLO,73200001,ARMA DE FUEGO,18/05/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOGOTA,BOGOTA D.C. (CT),11001000,ARMA DE FUEGO,16/04/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
VALLE,BUENAVENTURA,76109000,ARMA DE FUEGO,28/05/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOGOTA,BOGOTA D.C. (CT),11001000,ARMA DE FUEGO,02/04/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CAUCA,SANTANDER DE QUILICHAO,19698009,ARMA DE FUEGO,26/04/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CAUCA,SUAREZ,19780000,ARMA DE FUEGO,21/05/2014,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOGOTA,BOGOTA D.C. (CT),11001000,ARMA DE FUEGO,07/06/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ANTIOQUIA,SABANETA,5631000,ARMA DE FUEGO,03/06/2014,,,HURTO PIRATERIA TERRESTRE,1
BOGOTA,BOGOTA D.C. (CT),11001000,ARMA DE FUEGO,19/05/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ANTIOQUIA,SANTA ROSA DE OSOS,5686000,ARMA DE FUEGO,30/05/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOGOTA,BOGOTA D.C. (CT),11001000,ARMA DE FUEGO,11/06/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,MOSQUERA,25473000,ARMA DE FUEGO,13/06/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ANTIOQUIA,MEDELLIN (CT),5001000,ARMA DE FUEGO,13/06/2014,,,HURTO PIRATERIA TERRESTRE,1
CESAR,AGUACHICA,20011000,ARMA DE FUEGO,06/05/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CAUCA,SANTANDER DE QUILICHAO,19698000,ARMA DE FUEGO,30/05/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ANTIOQUIA,MEDELLIN (CT),5001000,ARMA DE FUEGO,29/05/2014,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CESAR,EL PASO,20250004,ARMA DE FUEGO,05/04/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ANTIOQUIA,MEDELLIN (CT),5001000,ARMA DE FUEGO,05/06/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ANTIOQUIA,YARUMAL,5887000,ARMA DE FUEGO,19/06/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CAUCA,SANTANDER DE QUILICHAO,19698020,ARMA DE FUEGO,19/06/2014,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
VALLE,GUADALAJARA DE BUGA,76111001,ARMA DE FUEGO,24/06/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
VALLE,BUENAVENTURA,76109000,ARMA DE FUEGO,20/06/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CESAR,LA JAGUA DE IBIRICO,20400000,ARMA DE FUEGO,23/05/2014,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CESAR,BOSCONIA,20060000,ARMA DE FUEGO,04/06/2014,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ATLANTICO,JUAN DE ACOSTA,8372004,ARMA DE FUEGO,27/06/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CAUCA,PATIA,19532000,ARMA DE FUEGO,21/05/2014,,,HURTO PIRATERIA TERRESTRE,1
NARINO,SAN ANDRES DE TUMACO,52835017,ARMA DE FUEGO,07/07/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CAUCA,POPAYAN (CT),19001000,ARMA DE FUEGO,17/06/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CAUCA,CALOTO,19142007,ARMA DE FUEGO,06/06/2014,,,HURTO PIRATERIA TERRESTRE,1
GUAJIRA,VILLANUEVA,44874000,ARMA DE FUEGO,03/07/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ANTIOQUIA,SAN LUIS,5660000,ARMA DE FUEGO,10/07/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
TOLIMA,COELLO,73200001,ARMA DE FUEGO,13/07/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
NARINO,SANTACRUZ,52699000,ARMA DE FUEGO,14/07/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ARAUCA,ARAUQUITA,81065000,ARMA DE FUEGO,11/06/2014,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ANTIOQUIA,MEDELLIN (CT),5001000,ARMA DE FUEGO,15/07/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,FACATATIVA,25269000,ARMA DE FUEGO,01/05/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
VALLE,BUENAVENTURA,76109000,ARMA DE FUEGO,15/07/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOLIVAR,CALAMAR,13140000,ARMA DE FUEGO,10/06/2014,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CAUCA,VILLA RICA,19845000,ARMA DE FUEGO,17/06/2014,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,FUSAGASUGA,25290000,ARMA DE FUEGO,07/05/2014,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,SOACHA,25754000,ARMA DE FUEGO,15/05/2014,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,FUNZA,25286000,ARMA DE FUEGO,10/06/2014,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,LA VEGA,25402000,ARMA DE FUEGO,25/06/2014,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
TOLIMA,MELGAR,73449000,ARMA DE FUEGO,07/06/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ATLANTICO,BARRANQUILLA (CT),8001000,ARMA DE FUEGO,09/06/2014,,,HURTO PIRATERIA TERRESTRE,1
BOGOTA,BOGOTA D.C. (CT),11001000,ARMA DE FUEGO,07/05/2014,,,HURTO PIRATERIA TERRESTRE,1
CESAR,LA JAGUA DE IBIRICO,20400001,ARMA DE FUEGO,27/05/2014,,,HURTO PIRATERIA TERRESTRE,1
CESAR,BOSCONIA,20060000,ARMA DE FUEGO,19/07/2014,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
