departamento,municipio,codigo_dane,armas_medios,fecha_hecho,genero,grupo_etario,tipo_de_hurto,cantidad
CORDOBA,SAHAGUN,23660000,NO REPORTADO,09/11/2015,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CORDOBA,PUEBLO NUEVO,23570000,NO REPORTADO,18/11/2015,MASCULINO,ADULTOS,HURTO ABIGEATO,1
VICHADA,SANTA ROSALIA,99624000,NO REPORTADO,05/12/2015,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CALDAS,ANSERMA,17042000,NO REPORTADO,26/11/2015,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CORDOBA,MOMIL,23464000,NO REPORTADO,14/12/2015,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,SONSON,5756000,NO REPORTADO,02/12/2015,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CAQUETA,FLORENCIA (CT),18001000,NO REPORTADO,29/12/2015,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,VILLAVICENCIO (CT),50001000,NO REPORTADO,30/01/2014,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CORDOBA,PLANETA RICA,23555000,NO REPORTADO,24/01/2014,FEMENINO,ADULTOS,HURTO ABIGEATO,1
META,VILLAVICENCIO (CT),50001000,NO REPORTADO,18/03/2014,MASCULINO,ADULTOS,HURTO ABIGEATO,1
TOLIMA,IBAGUE (CT),73001000,NO REPORTADO,06/12/2013,MASCULINO,ADULTOS,HURTO ABIGEATO,1
MAGDALENA,PIVIJAY,47551000,NO REPORTADO,13/06/2013,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOYACA,MONGUA,15464000,NO REPORTADO,05/12/2013,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOGOTA,BOGOTA D.C. (CT),11001000,NO REPORTADO,06/03/2013,FEMENINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,SAN PEDRO,5664001,NO REPORTADO,20/03/2014,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CAQUETA,CURILLO,18205000,NO REPORTADO,04/05/2014,MASCULINO,ADOLESCENTES,HURTO ABIGEATO,1
BOGOTA,BOGOTA D.C. (CT),11001000,NO REPORTADO,12/05/2014,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOGOTA,BOGOTA D.C. (CT),11001000,NO REPORTADO,10/05/2014,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,SAN VICENTE,5674000,NO REPORTADO,28/05/2014,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CALDAS,VICTORIA,17867000,NO REPORTADO,02/06/2014,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,VILLAVICENCIO (CT),50001000,NO REPORTADO,19/08/2014,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CASANARE,PORE,85263000,NO REPORTADO,03/09/2014,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,CIUDAD BOLIVAR,5101000,NO REPORTADO,05/11/2014,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,VILLAVICENCIO (CT),50001000,NO REPORTADO,05/11/2014,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,SAN PEDRO,5664000,NO REPORTADO,02/11/2014,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,LA CALERA,25377000,NO REPORTADO,12/02/2014,FEMENINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE,25843000,NO REPORTADO,14/02/2014,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SANTANDER,RIONEGRO,68615000,NO REPORTADO,29/09/2014,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOGOTA,BOGOTA D.C. (CT),11001000,NO REPORTADO,23/06/2020,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOGOTA,BOGOTA D.C. (CT),11001000,NO REPORTADO,10/07/2021,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
ANTIOQUIA,EL SANTUARIO,5697000,NO REPORTADO,29/09/2021,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,FUSAGASUGA,25290000,NO REPORTADO,19/03/2022,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
VALLE,YOTOCO,76890000,NO REPORTADO,15/11/2022,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,COTA,25214000,NO REPORTADO,10/02/2023,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,FACATATIVA,25269000,NO REPORTADO,20/01/2023,,ADULTOS,HURTO PIRATERIA TERRESTRE,1
VALLE,ANSERMANUEVO,76041000,NO REPORTADO,14/07/2023,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
VALLE,DAGUA,76233000,NO REPORTADO,15/11/2023,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
VALLE,CARTAGO,76147000,NO REPORTADO,10/11/2023,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
VALLE,GUADALAJARA DE BUGA,76111000,NO REPORTADO,30/12/2023,FEMENINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,FACATATIVA,25269000,NO REPORTADO,07/09/2024,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,MADRID,25430000,NO REPORTADO,06/11/2024,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,PUERTO SALGAR,25572000,NO REPORTADO,05/11/2024,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
VALLE,BUENAVENTURA,76109000,NO REPORTADO,20/02/2025,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,GUADUAS,25320000,NO REPORTADO,19/02/2025,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
CUNDINAMARCA,GUADUAS,25320000,NO REPORTADO,22/04/2025,MASCULINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
BOGOTA,BOGOTA D.C. (CT),11001000,NO REPORTADO,19/02/2025,FEMENINO,ADULTOS,HURTO PIRATERIA TERRESTRE,1
